,orig.ident,nCount_RNA,nFeature_RNA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,n_genes,leiden,Celltype
BC04BLOOD3_85054,31,1576.6128084659576,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,660,0,CD4Tn
BC04BLOOD3_85058,31,1462.9713015556335,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564,0,CD4Tn
BC04BLOOD3_85059,31,1579.2104032039642,617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,0,CD4Tn
BC04BLOOD3_85066,31,1576.784232378006,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,0,CD4Tn
BC04BLOOD3_85069,31,1446.4341781139374,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,0,CD4Tn
BC04BLOOD3_85071,31,1495.623937368393,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,0,CD4Tn
BC04BLOOD3_85074,31,1345.6075422763824,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,0,CD4Tn
BC04BLOOD3_85078,31,1540.4026050567627,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,0,CD4Tn
BC04BLOOD3_85081,31,1467.3150024414062,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563,0,CD4Tn
BC04BLOOD3_85082,31,1681.99520945549,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696,0,CD4Tn
BC04BLOOD3_85103,31,1436.9005706310272,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,0,CD4Tn
BC04BLOOD3_85123,31,1438.1713285446167,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,0,CD4Tn
BC04BLOOD3_85131,31,1501.1150543689728,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573,0,CD4Tn
